item,weight
累计,27
家,66
门诊,2
市场,42
医疗器械,2
整治,47
原,47
起,93
，,524
岗,11
凭处方,1
了,464
对,320
开展,207
加强,97
本文,18
药师,1
陈列,2
辖区,49
贮存,2
结合部,3
诊所,1
执行,34
30,97
人次,12
7,96
出动,15
零售,7
贮藏,1
和,428
记录,29
严格,33
立案查处,2
集中,69
中,306
还,202
、,479
43,8
覆盖,35
安全,113
销售,33
。,516
—,101
进一步,137
面向基层,2
保障,80
用药,3
责令,7
苏州,15
内,112
制度,34
就,213
12,92
执业,3
标示,1
好医,1
月,374
小,78
过期,4
企业,99
农村,59
查验,6
来源,68
10,144
在,458
监管,25
健,1
城乡,19
及,157
责任编辑,26
储存,3
药械,1
全,70
进行,259
等,344
8,97
直接,54
整改,20
：,249
质量,52
共出动,3
严令,1
余次,5
另外,17
吃,30
太仓,2
今年,104
的,521
42,9
标题,30
按照,77
日报,13
b7246,1
工作,280
老百姓,31
 ,369
执法,34
违法行为,18
药,3
为了,108
监督,24
说明书,1
标签,4
药品,8
处方药,1
且,31
本次,46
履职,9
行为,51
未,32
执法人员,8
484,1
62,6
地区,56
9,95
百姓,21
进货,2
点多面广,1
发现,117
车辆,58
药店,1
（,160
太仓市,2
检查,57
不,212
）,161
管理局,9
要求,120
_,35
欠薪,2
铁佛,1
合同,11
通缉,1
债权债务,1
户籍,8
贵州,23
外地,14
经,61
该所,7
2016,43
大厅,16
奔赴,12
总,48
龙泉,1
负责,50
寻找,32
赠送,9
高度重视,24
案发,11
年,239
款近,1
向,185
730,1
抓捕归案,2
移送,9
十余名,2
毕节,3
工程款,1
以,215
转来,2
工资,14
元,58
追回,6
杨,16
讨要,1
案,21
公安机关,23
固定,17
为,394
31,14
被,185
截止,9
期间,63
2017,105
迅速,57
汉阴,3
调查,49
镇,71
逃避,3
万元,61
犯罪,44
25,37
放松,5
不到,37
项目部,5
发放,35
民警,76
案件,57
项目,83
拖欠,6
接受,42
久,10
帮助,101
3,143
“,424
多次,58
某,52
接到,47
人力资源,6
未向,1
侦查,24
商人,1
当场,28
立案,14
社局,2
拒,4
2012,17
查明,9
11,95
281970,1
各种,50
代表,71
249790,1
约定,5
关系,28
警方,41
保障局,5
成功,89
一直,67
公安局,59
承建,3
传讯,1
小区,31
案情,8
汉阴县,2
报案,17
杨某,5
日,325
均,52
历经,9
人,243
派出所,37
万,23
称,37
上午,76
支付,16
农民工,7
下,183
