item,weight
江歌,22
事件,540
:,10655
教会,48
孩子,1464
，,204346
善良,52
的,115207
同时,1699
更要,44
懂得,87
保护,786
自己,3508
!,1623
过去,429
一年,483
悲剧,56
这,4188
几日,9
再次,315
刷屏,24
：,10866
住,311
在,24459
东京都,11
中野,2
区,835
中国,4569
女,280
留学生,14
收留,3
了,25743
被,5240
前男友,5
陈世锋,4
恶意,94
纠缠,29
闺蜜,26
刘鑫,11
两人,205
回到,209
公寓楼,4
时,2959
已经,2097
等,8273
楼下,45
叫嚣,7
着,2690
要,5237
给,2476
一个,4666
说法,174
（,4470
男友,36
此时,165
情绪,177
处于,258
濒临,7
崩溃,44
状态,347
）,4674
。,79810
为了,959
就让,39
她,2379
先进,330
房间,70
拦在,1
外面,97
要求,2152
离开,276
结果,717
用,1817
刀,63
多处,38
刺伤,5
脖子,25
和,17820
胸部,16
刀刀,1
毙命,2
残忍,13
至极,8
最终,525
因,905
失血过多,1
丧生,12
十几,11
躲,51
屋里,20
门,235
后,4313
亲耳,2
听,360
声声,3
求助,37
及,2797
惨叫,6
却,1228
始终,235
没有,3507
打开门,7
连,294
邻居,65
都,7309
听到,156
呼救,13
纷纷,197
开门,53
查看,469
究竟,131
那扇,1
可以,4033
救命,17
们,1543
打开,270
死,284
面对,336
警方,442
询问,120
称,805
一无所知,4
什么,1584
听见,34
不肯,40
出来,645
指证,4
凶手,22
、,61628
为江歌,1
伸冤,4
只,836
想着,86
撇清,7
关系,653
澄清,21
任江歌,1
遭,106
外界,66
议论,19
指摘,1
甚至,790
拒绝,233
同江,1
歌,59
妈妈,345
联系,636
做,1969
新,3246
头发,104
买,623
包包,27
快快乐乐,3
地过,5
生活,1533
暗自,10
庆幸,13
终于,251
摆脱,36
那个,305
迫于,9
舆论,151
压力,333
出现,1187
为,8681
失去,140
生命,405
可,2213
眼里,37
一条,334
命,42
抵不过,3
名声,14
在意,21
家人,224
受到,422
严重,651
影响,1333
认为,1009
知道,1299
错,117
就,7368
该,1655
原谅,22
不,8122
应该,805
揪,12
不放,5
事,583
搁,3
首次,227
与,6197
死者,45
母亲,239
见面,52
还,3695
身穿,24
艳色,1
裤子,30
摘帽子,1
丝毫,40
尊重,121
遇害,7
至今,172
每,568
一次,867
网络,1473
那头,5
是,19936
争辩,5
利益,365
作,242
斗争,62
如果说,56
正直,12
来自,596
言传身教,2
 ,5512
那,1138
自私,17
冷漠,24
呢,945
？,3557
争执,15
中,6476
可见一斑,9
说,3808
“,21095
短,129
不是,1527
俺,60
闺女,11
！,4328
”,20928
后悔,57
吗,987
一定,1180
教,122
女儿,251
这样,1430
让,3580
付出,93
代价,52
去,2225
别人,371
过错,59
买单,22
曾经,280
还有,1127
一位,517
爸爸,132
带,635
河边,15
钓鱼,43
遇到,393
玩,257
虽然,761
并,4233
相识,21
但是,1458
两个,806
很快,186
打成,9
一片,133
玩得,7
不亦乐乎,8
谁知,27
突然,317
掉,206
进,219
河里,19
这位,196
二话没说,2
立刻,94
下河,5
救,72
这个,2323
时候,1469
他,5312
离,103
岸边,25
近,452
另,250
飘得,1
比较,755
远,153
因为,1633
不会,869
游泳,54
一直,845
喊话,22
救救,4
稍,35
一,2272
犹豫,28
还是,1374
奋力,31
向着,15
游过去,1
将,5684
拖,50
到,5412
这才,55
另外,384
游,117
可是,370
遗憾,58
上岸,30
已,1838
停止,191
呼吸,70
悲痛欲绝,2
不停,68
地,2079
埋怨,8
父亲,286
我,6668
距离,301
不远处,10
你,5604
伸手,16
抓,318
得到,680
为什么,496
游得,2
那么,944
先救,2
完全,423
救起,3
再,1454
这么,648
没,948
人性,46
…,1502
人,7080
本能,13
看到,1004
落水,10
作为,1544
父母,445
肯定,291
会,4287
不顾一切,6
地去,12
更何况,22
离得,4
于情,1
于理,1
说得过去,3
不说,24
别的,69
世界,923
上,5621
对于,1339
更是如此,7
如果,1996
不去,32
儿子,319
而是,381
互不,6
小孩,128
万一,50
也,9732
遭遇,181
不幸,57
家庭,536
后半辈子,3
谁,588
来,2437
破碎,12
负责,469
舍己为人,2
很,2492
伟大,195
同样,339
宝贵,46
值得,218
珍惜,59
我们,5215
不能,1323
容许,5
任何人,63
以身,7
犯险,2
事情,495
承担,394
或,3152
失误,52
告诉,507
前提,137
四种,38
情况,2237
下,2376
收起,11
1,3930
.,5792
 ,45167
当,942
弱势,25
而,3622
ta,40
强势,81
时有,11
一天,353
有位,14
学校,980
接,119
迟到,31
人贩子,13
抓住机会,8
趁机,15
哄骗,2
骗子,145
哎呀,9
小朋友,84
东西,453
丢,76
厕所,195
现在,1418
能,2570
帮,220
找,543
一下,543
想,1149
把,2559
引,42
里,1512
好,2686
同伴,23
下手,25
连续,319
问,381
三遍,6
小孩子,29
摇头,11
恼,2
没学过,1
叫,437
助人为乐,7
瞪,13
一眼,62
跑,299
老师,579
身边,254
看,1429
机警,1
马上,224
转换,74
目标,639
十分钟,8
他们,2258
骗到,1
小孩儿,4
正,481
打算,70
开车,202
走人,1
警察,172
个,3369
原来,282
笃定,4
跟,774
几个,336
坏人,10
半信半疑,3
安全,2020
着想,10
报,216
警,27
没想到,138
真的,544
怎么,717
过,1261
有,11029
大人,38
帮忙,116
千万,156
不要,898
理他,1
解决不了,12
困难,230
寻求,80
成人,35
比,837
弱小,17
成年,19
男子,309
一般,736
孕妇,34
健壮,6
成年人,32
老人,333
帮助,596
是因为,244
强,405
所以,1288
才,1081
本,755
就是,2588
一方,130
反而,117
说明,342
有所,181
图,294
这时候,77
请,1204
务必,49
