item,weight
都,1128
想,421
救起,2
造成,300
发育,16
才能,228
拐到,1
富裕,16
父母,113
护送,7
近百家,4
邀,5
冷漠,10
已,539
每时每刻,2
了,1699
深圳,97
陈世锋,1
近,205
可可西里,2
满是,3
从,888
正,221
获取,106
感恩,29
条,132
更加,247
刚刚,93
遭,59
搀扶,3
舍己为人,2
包包,11
那个,127
容许,3
连,136
雨,27
丢,36
富,27
目标,267
效果,177
留在,35
吧,328
强,189
哄骗,2
听见,18
不要,274
遭受,28
广为人知,4
迟到,12
同伴,15
骚动,3
没学过,1
呼救,6
吃饱,9
查看,230
间,97
不会,359
听,141
男子,79
 ,120
正直,10
两户,5
闺蜜,9
承担,134
刷屏,18
事情,223
有所,83
做出,141
平时,90
我们,830
在家,44
买到,6
不够,80
看,477
号,385
最牛,3
钓鱼,18
男友,10
掺,1
只好,26
比较,285
曾经,139
几日,2
成人,16
为,1322
禁猎区,1
想象,58
儿子,84
看起来,55
颗粒无收,3
严重,238
此女,1
另,140
测评,11
原来,147
门,82
说法,66
夸,13
造孽,2
面对,153
2,715
悲痛欲绝,2
队长,20
斗米,1
立刻,54
喊话,12
值得,111
开放,123
俺,5
坏,32
点击,177
记,33
地进,2
还是,488
恶意,40
伸手,12
所以,430
快快乐乐,3
岁,238
就,1143
两个,315
上,1132
小孩,42
收起,6
时候,433
马上,98
弱小,7
女孩,61
救命,7
ta,8
出现,436
他们,528
健康,223
性格,44
懂得,38
任江歌,1
压力,137
感恩不尽,1
沧海一粟,1
有位,7
惨遭,8
机警,1
缺少,39
n,455
以身,5
同江,1
假装,16
拿,191
后悔,28
亲子,25
毙命,2
避免,158
呼吸,33
情绪,69
每,252
游,34
来到,183
卓越,26
救,30
澄清,16
新闻,253
这话,9
刺伤,4
信息,446
专家,184
空间,181
争辩,3
一眼,27
人心,25
两碗,1
熬过,2
看到,370
不仅,266
福利,50
您,237
其,561
争执,11
在意,12
用,560
这么,259
发来,20
怒,13
4,684
有度,3
小孩子,19
第一次,103
不去,23
丝毫,27
只,376
好,767
兄弟,61
公众,187
前往,96
很多,523
别的,42
困难,119
比,325
警,12
